Agents    days    Food
12 1 107
11 2 155
12 3 201
15 4 218
16 5 233
19 6 224
27 7 207
24 8 190
36 9 156
44 10 103
47 11 52
36 12 23
26 13 35
11 14 96
19 15 110
36 16 82
42 17 53
34 18 47
22 19 64
16 20 81
12 21 163
14 22 188
19 23 215
28 24 179
44 25 105
42 26 32
25 27 43
24 28 35
16 29 58
11 30 114
13 31 158
12 32 202
15 33 234
24 34 228
37 35 169
45 36 81
27 37 71
23 38 59
24 39 57
18 40 63
21 41 65
19 42 65
17 43 91
19 44 116
22 45 101
30 46 48
37 47 14
17 48 47
13 49 78
14 50 98
14 51 102
14 52 116
15 53 118
20 54 113
24 55 111
25 56 87
30 57 78
43 58 43
26 59 37
23 60 64
28 61 33
25 62 50
22 63 55
15 64 86
10 65 138
12 66 199
13 67 230
23 68 225
45 69 130
48 70 70
43 71 27
14 72 89
16 73 127
27 74 113
25 75 139
42 76 85
37 77 52
31 78 28
20 79 39
19 80 39
22 81 56
23 82 50
19 83 67
24 84 87
17 85 121
23 86 122
40 87 69
34 88 38
25 89 44
22 90 64
21 91 84
28 92 95
29 93 78
35 94 36
28 95 31
16 96 62
19 97 88
18 98 109
26 99 93
37 100 64
