Agents    days    Food
12 1 107
11 2 155
12 3 201
15 4 218
16 5 233
19 6 224
27 7 207
24 8 190
36 9 156
44 10 103
47 11 52
36 12 23
26 13 35
11 14 96
19 15 110
36 16 82
42 17 53
34 18 47
22 19 64
16 20 81
12 21 163
14 22 188
19 23 215
28 24 179
44 25 105
42 26 32
25 27 43
24 28 35
16 29 58
11 30 114
13 31 158
12 32 202
15 33 234
24 34 228
37 35 169
45 36 81
27 37 71
23 38 59
24 39 57
18 40 63
21 41 65
19 42 65
17 43 91
19 44 116
22 45 101
30 46 48
37 47 14
17 48 47
13 49 78
14 50 98
14 51 102
14 52 116
15 53 118
20 54 113
