Agents    days    Food
171 1 80
146 2 50
89 3 51
67 4 56
55 5 62
48 6 81
25 7 59
9 8 90
6 9 202
8 10 353
6 11 503
9 12 650
18 13 766
94 14 683
185 15 308
140 16 27
58 17 41
25 18 100
17 19 145
15 20 141
9 21 165
6 22 217
6 23 267
16 24 347
15 25 360
38 26 329
66 27 264
85 28 139
54 29 126
56 30 80
48 31 63
32 32 95
17 33 133
38 34 181
35 35 220
45 36 227
75 37 137
65 38 87
45 39 82
44 40 85
42 41 88
29 42 113
29 43 147
34 44 127
43 45 109
50 46 87
36 47 89
52 48 66
47 49 42
35 50 78
24 51 127
31 52 150
36 53 161
61 54 103
42 55 115
37 56 109
26 57 129
23 58 117
24 59 133
22 60 141
11 61 205
18 62 225
33 63 208
27 64 173
38 65 119
35 66 82
24 67 107
17 68 115
25 69 115
9 70 132
11 71 168
18 72 215
19 73 256
21 74 296
31 75 278
68 76 155
47 77 80
27 78 117
15 79 178
16 80 239
29 81 256
46 82 178
73 83 95
57 85 83
48 86 101
49 87 66
49 88 70
42 89 79
27 90 81
27 91 81
33 92 123
29 93 152
42 94 120
45 95 82
38 96 112
28 97 131
26 98 117
39 99 118
16 100 157
21 101 178
36 102 193
55 103 133
35 104 74
37 105 55
23 106 35
12 107 86
9 108 157
9 109 229
9 110 274
8 111 324
9 112 375
17 113 396
34 114 363
76 115 256
72 116 116
45 117 64
19 118 88
16 119 100
10 120 131
6 121 183
12 122 210
9 123 249
7 124 263
8 125 334
6 126 415
6 127 448
8 128 493
12 129 543
14 130 548
22 131 598
111 132 484
259 133 90
145 134 52
89 135 44
65 136 44
31 137 35
10 138 50
8 139 84
8 140 120
3 141 170
2 142 227
2 143 282
1 144 344
0 145 494
0 146 680
