Agents    days    Food
40 1 3
28 2 7
18 3 17
36 4 9
20 5 6
23 6 10
24 7 2
23 8 3
20 9 7
33 10 3
27 11 7
24 12 0
25 13 5
28 14 5
32 15 2
28 16 4
21 17 3
27 18 3
32 19 2
29 20 1
24 21 3
25 22 5
26 23 4
30 24 10
29 25 6
26 26 4
24 27 2
27 28 3
22 29 11
26 30 7
28 31 1
29 32 4
26 33 4
26 34 7
27 35 4
27 36 2
22 37 2
20 38 8
26 39 2
33 40 2
25 41 1
21 42 3
28 43 3
23 44 2
32 45 7
31 46 7
21 47 6
38 48 0
29 49 2
29 50 3
31 51 2
23 52 4
35 53 3
22 54 1
32 55 3
20 56 8
24 57 14
27 58 3
15 59 16
21 60 16
24 61 2
28 62 3
26 63 2
34 64 3
33 65 1
19 66 13
29 67 2
39 68 2
33 69 3
31 70 3
30 71 1
26 72 4
24 73 6
28 74 2
23 75 7
24 76 3
25 77 7
29 78 0
26 79 6
26 80 2
27 81 2
23 82 5
28 83 4
25 84 5
26 85 3
27 86 2
33 87 5
22 88 3
25 89 2
23 90 4
28 91 2
25 92 6
19 93 13
28 94 1
30 95 2
25 96 0
20 97 1
25 98 4
18 99 15
32 100 4
29 101 4
29 102 4
31 103 2
29 104 0
23 105 9
26 106 8
34 107 1
25 108 7
24 109 20
31 110 4
29 111 8
16 112 18
23 113 16
26 114 3
23 115 4
24 116 3
13 117 22
14 118 59
33 119 33
31 120 5
24 121 3
26 122 6
22 123 7
21 124 8
33 125 3
28 126 2
29 127 2
31 128 3
29 129 4
29 130 1
29 131 1
31 132 4
26 133 3
27 134 8
31 135 1
30 136 4
26 138 4
26 139 3
30 140 4
19 141 8
23 142 4
29 143 3
27 144 2
30 145 2
29 146 1
32 147 2
23 148 6
31 149 3
26 150 5
35 151 2
27 152 1
27 153 1
27 154 1
23 155 3
13 156 33
30 157 33
30 158 5
33 159 1
26 160 4
36 161 6
24 162 4
23 163 5
26 164 5
22 165 3
29 166 2
25 167 7
28 168 3
